Tract Name,number of tracts,mean length(mm),diameter(mm),volume(mm^3)
Fornix_R,322,55.2671,7.62396,2523
Fornix_L,190,54.5053,6.19707,1644
Cerebellum_L,33,52.0606,4.3311,767
Middle_Cerebellar_Peduncle,24,52.5,3.45779,493
Thalamic_Radiation_Superior_L,17,58,3.08308,433
