"","ID","timepoint","TrialID","PosX","PosY","PosZ","FacingAngle","startObj","endObj","TrialTime","Result","accuracy"
"136",3006,65,3,-3.81478,-6.598762,-0.140498,189.203564307692,"Piano","Mailbox",14.62661,"Success",TRUE
"137",3006,79,24,1.9008492,4.745562,0.0709340000000001,174.136416741772,"Chair","Trashcan",17.55979,"Success",TRUE
"138",3006,116,12,-5.109272,-2.2170411,-0.0957129999999999,188.903345017241,"Trashcan","Plant",25.98883,"Fail",FALSE
"139",3006,83,1,4.165813,-4.429011,-0.097709,151.219867843373,"Stove","Well",18.44584,"Success",TRUE
"140",3006,57,4,-0.425623,-4.412307,-0.11603,161.446422105263,"Piano","Harp",12.80549,"Success",TRUE
"141",3006,74,15,-2.5395542,-3.112939276,-0.07673,204.004908162162,"Wheelbarrow","Mailbox",16.51503,"Success",TRUE
"142",3006,63,6,2.5520933,-5.108756,-0.104361,143.211502698413,"Table","Chair",14.09312,"Success",TRUE
"143",3006,60,7,5.086572,3.543658,0.0454510000000001,127.598110733333,"Plant","Trashcan",13.53914,"Success",TRUE
"144",3006,76,20,0.427912,4.872707,0.072511,174.748308302632,"Well","Piano",16.95218,"Success",TRUE
"145",3007,95,17,-4.395057,4.185012,-0.083745,240.5940118,"Harp","Stove",21.1114,"Success",TRUE
"146",3007,75,23,0.9197071,6.253589,-0.053998,120.958746190134,"Chair","Piano",16.74846,"Success",TRUE
"147",3007,72,11,-5.347278,-1.00384916,-0.0444360000000001,179.899799305556,"Trashcan","Telescope",16.0577,"Success",TRUE
"148",3007,74,3,-3.503999,-6.279769,0.0390760000000001,221.626044594595,"Piano","Mailbox",16.49069,"Success",TRUE
"149",3007,81,7,5.290967,2.8658896,0.0010340000000002,146.935976617284,"Plant","Trashcan",18.20358,"Success",TRUE
"150",3007,71,22,3.534053,4.1419703,-0.0379119999999999,111.747145401408,"Mailbox","Bookshelf",15.82621,"Success",TRUE
"151",3007,66,20,0.0122209999999998,5.025464,-0.058629,120.599349219697,"Well","Piano",14.83619,"Success",TRUE
"152",3007,41,18,-4.471137,1.13576807,-0.0608649999999999,185.89233475122,"Harp","Telescope",9.217218,"Success",TRUE
"153",3007,43,12,-4.416875,0.84595,-0.0630550000000001,196.131428372093,"Trashcan","Table",9.728952,"Success",TRUE
"154",3007,36,16,-3.0265786,-1.88865784,-0.023147,249.628044444444,"Wheelbarrow","Plant",8.173845,"Success",TRUE
"155",3007,60,13,4.928955,-2.13949405,0.0602879999999999,110.641609666667,"Telescope","Well",13.49493,"Success",TRUE
"156",3007,46,2,2.61263554,-2.7748598,0.0431549999999998,190.504311521739,"Stove","Wheelbarrow",10.2632,"Success",TRUE
"157",3007,62,1,4.346559,-5.033016,0.0804560000000001,155.060730322581,"Stove","Well",13.83839,"Success",TRUE
"158",3007,35,24,2.0047451,4.161255,-0.039482,31.4148696571429,"Chair","Trashcan",7.806068,"Success",TRUE
"159",3007,53,15,-1.9206814,-3.15257123,0.020902,227.111803773585,"Wheelbarrow","Mailbox",11.91808,"Success",TRUE
"160",3007,88,6,2.8336133,-5.216956,0.0721000000000001,125.762063647727,"Table","Chair",19.62379,"Success",TRUE
"161",3007,49,10,-4.592754,-3.071972,-0.024912,226.718167346939,"Bookshelf","Plant",11.10484,"Success",TRUE
"162",3007,49,21,4.558863,4.1817863,-0.031725,38.2975534591837,"Mailbox","Trashcan",10.99579,"Success",TRUE
"163",3007,55,19,-3.547839,3.651322,-0.0802499999999999,169.935911763636,"Well","Table",12.34984,"Success",TRUE
"164",3007,52,8,4.091371,0.936172,0.026721,125.002555213462,"Plant","Harp",11.56116,"Success",TRUE
"165",3007,46,9,-4.31512,1.741901,-0.0682779999999998,266.190827717391,"Bookshelf","Stove",10.44014,"Success",TRUE
"166",3007,81,14,2.91983187,-0.08687093,0.0229030000000001,140.674230691358,"Telescope","Wheelbarrow",18.02411,"Success",TRUE
"167",3007,67,5,3.808692,-1.072255,0.0402629999999999,113.740734880597,"Table","Bookshelf",14.93667,"Success",TRUE
"168",3007,46,4,0.0165819999999999,-4.428364,0.0286500000000001,199.091926,"Piano","Harp",10.33883,"Success",TRUE
"169",3008,135,2,2.7132832,-2.7695698,0.0318069999999999,184.889174192593,"Stove",NA,30,"Fail",FALSE
"170",3008,135,13,0.00697099999999962,-0.23056317,-0.017614,178.458162155556,"Telescope",NA,30,"Fail",FALSE
"171",3008,129,10,-4.569407,-2.5842248,-0.0443280000000001,198.354088263566,"Bookshelf","Plant",28.77469,"Success",TRUE
"172",3008,93,20,-0.039596,5.034054,-0.022016,167.592107053763,"Well","Piano",20.82312,"Success",TRUE
"173",3008,127,4,-0.49854,-3.9427448,0.00389299999999992,186.89695023622,"Piano","Harp",28.34355,"Success",TRUE
"174",3008,91,7,5.430357,3.242482,-0.00433699999999981,142.809821769231,"Plant","Trashcan",20.41402,"Success",TRUE
"175",3008,127,24,1.8996603,4.064895,-0.0265630000000001,153.810417769291,"Chair","Trashcan",28.3991,"Success",TRUE
"176",3008,133,19,-3.739278,3.617104,-0.053153,155.363483030827,"Well","Table",29.66331,"Success",TRUE
"177",3008,100,23,0.6019715,6.040803,-0.034116,152.769815442,"Chair","Piano",22.36856,"Success",TRUE
"178",3008,115,15,-2.05409032,-2.95217203,0.00378900000000004,197.714609458522,"Wheelbarrow","Mailbox",25.58822,"Success",TRUE
"179",3008,92,1,4.608625,-4.53648,0.030014,170.536716195652,"Stove","Well",20.52248,"Success",TRUE
"180",3008,124,12,-4.579091,0.987548,-0.027987,197.160016079839,"Trashcan","Table",27.5538,"Success",TRUE
"181",3008,135,21,4.013356,5.640981,-0.042664,161.875299153333,"Mailbox",NA,30,"Fail",FALSE
"182",3008,99,8,3.769188,1.1459441,0.00329899999999994,155.097590232323,"Plant","Harp",22.04534,"Success",TRUE
"183",3008,96,18,-4.400339,1.2611107,-0.0445929999999999,200.377743604167,"Harp","Telescope",21.49993,"Success",TRUE
"184",3008,135,6,0.0976030000000001,1.025705,-0.0322,166.314996511111,"Table",NA,30,"Fail",FALSE
"185",3008,93,3,-3.943579,-5.92412,-0.00901200000000002,200.764613333333,"Piano","Mailbox",20.85788,"Success",TRUE
"186",3008,86,14,2.8413403,0.55877145,0.015555,147.444504763953,"Telescope","Wheelbarrow",19.13646,"Success",TRUE
"187",3008,120,11,-5.263402,-0.5751478,-0.0334410000000001,219.739644833333,"Trashcan","Telescope",26.78687,"Success",TRUE
"188",3008,83,17,-4.049625,4.126845,-0.0465340000000001,175.453950650602,"Harp","Stove",18.55646,"Success",TRUE
"189",3008,135,5,-0.12536,-0.826497,-0.038686,157.181811599259,"Table",NA,30,"Fail",FALSE
"190",3008,84,9,-4.021721,1.997356,-0.0591549999999998,213.501883363095,"Bookshelf","Stove",18.81326,"Success",TRUE
"191",3008,101,22,4.031092,4.200654,-0.0149469999999998,139.614314158416,"Mailbox","Bookshelf",22.44451,"Success",TRUE
"192",3008,125,16,-3.0348768,-1.13372273,-0.0519800000000001,212.600165776,"Wheelbarrow","Plant",27.85348,"Success",TRUE
"193",3009,131,23,0.9927956,6.059966,0.087788,202.863538496183,"Chair","Piano",29.27667,"Success",TRUE
"194",3009,26,15,-0.195307,0.08746802,-0.0141600000000002,272.531765384615,"Wheelbarrow","Wheelbarrow",5.98624,"Fail",FALSE
"195",3009,89,11,-5.220061,-0.7920986,-0.033139,164.622672930337,"Trashcan","Telescope",19.92447,"Success",TRUE
"196",3009,83,3,-3.220299,-5.996287,-0.102107,210.545115783133,"Piano","Mailbox",18.647,"Success",TRUE
"197",3009,61,20,0.156562,5.005734,0.0601250000000002,171.817789295082,"Well","Piano",13.54956,"Success",TRUE
"198",3009,57,5,3.683104,-0.9995094,-0.0392489999999999,132.248366736842,"Table","Bookshelf",12.67078,"Success",TRUE
"199",3009,111,7,5.186086,3.058555,0.0839480000000001,113.09128318018,"Plant","Trashcan",24.67825,"Success",TRUE
"200",3009,61,8,4.312398,1.1050843,-0.0110779999999999,115.378973786885,"Plant","Harp",13.69261,"Success",TRUE
"201",3009,94,9,-4.499896,1.863944,-0.010966,190.618639297872,"Bookshelf","Stove",20.94548,"Success",TRUE
"202",3009,81,17,-4.307611,4.189063,0.0580970000000001,218.734930697531,"Harp","Stove",18.15879,"Success",TRUE
