10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.184293 [3865 voxels],0.121411 [5681 voxels],0.111126 [5398 voxels],0.253102 [2257 voxels],0.165744 [2224 voxels],0.183823 [3910 voxels],0.185143 [3444 voxels],0.313231 [2406 voxels],0.277053 [2152 voxels],036,036,0.144633 [4171 voxels],0.131535 [4452 voxels],0.117272 [7753 voxels],0.113978 [7686 voxels],0.21903 [3274 voxels]
024,024,024,024,024,024,024,024,024,037,037,024,024,024,024,024
0.181843 [3865 voxels],0.119318 [5681 voxels],0.0955219 [5398 voxels],0.199345 [2257 voxels],0.131739 [2224 voxels],0.172339 [3910 voxels],0.146444 [3444 voxels],0.213256 [2406 voxels],0.21979 [2152 voxels],038,038,0.1317 [4171 voxels],0.135161 [4452 voxels],0.0725317 [7753 voxels],0.0960204 [7686 voxels],0.139661 [3274 voxels]
025,025,025,025,025,025,025,025,025,039,039,025,025,025,025,025
0.14914 [3865 voxels],0.137567 [5681 voxels],0.115828 [5398 voxels],0.186506 [2257 voxels],0.158647 [2224 voxels],0.32075 [3910 voxels],0.354244 [3444 voxels],0.172167 [2406 voxels],0.148989 [2152 voxels],041,041,0.276869 [4171 voxels],0.191965 [4452 voxels],0.170612 [7753 voxels],0.103195 [7686 voxels],0.261082 [3274 voxels]
027,027,027,027,027,027,027,027,027,043,043,027,027,027,027,027
0.108394 [3865 voxels],0.129855 [5681 voxels],0.110878 [5398 voxels],0.234337 [2257 voxels],0.125338 [2224 voxels],0.187319 [3910 voxels],0.18528 [3444 voxels],0.259787 [2406 voxels],0.187427 [2152 voxels],044,044,0.194424 [4171 voxels],0.128618 [4452 voxels],0.120433 [7753 voxels],0.0976341 [7686 voxels],0.154693 [3274 voxels]
028,028,028,028,028,028,028,028,028,045,045,028,028,028,028,028
0.128943 [3865 voxels],0.120686 [5681 voxels],0.0949386 [5398 voxels],0.195714 [2257 voxels],0.122721 [2224 voxels],0.174797 [3910 voxels],0.144457 [3444 voxels],0.27864 [2406 voxels],0.159541 [2152 voxels],046,046,0.131512 [4171 voxels],0.126249 [4452 voxels],0.102414 [7753 voxels],0.0829153 [7686 voxels],0.22111 [3274 voxels]
029,029,029,029,029,029,029,029,029,047,047,029,029,029,029,029
