10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.525495 [3865 voxels],0.498028 [5681 voxels],0.528385 [5398 voxels],0.547366 [2257 voxels],0.548707 [2224 voxels],0.544475 [3910 voxels],0.551054 [3444 voxels],0.534821 [2406 voxels],0.558011 [2152 voxels],113,113,0.536465 [4171 voxels],0.531232 [4452 voxels],0.495129 [7753 voxels],0.473393 [7686 voxels],0.538046 [3274 voxels]
061,061,061,061,061,061,061,061,061,,,061,061,061,061,061
0.60281 [3865 voxels],0.534467 [5681 voxels],0.533169 [5398 voxels],0.535442 [2257 voxels],0.5549 [2224 voxels],0.550162 [3910 voxels],0.561056 [3444 voxels],0.577859 [2406 voxels],0.55313 [2152 voxels],,,0.57559 [4171 voxels],0.498317 [4452 voxels],0.553843 [7753 voxels],0.512511 [7686 voxels],0.646786 [3274 voxels]
062,062,062,062,062,062,062,062,062,,,062,062,062,062,062
0.588248 [3865 voxels],0.633542 [5681 voxels],0.600494 [5398 voxels],0.600877 [2257 voxels],0.620627 [2224 voxels],0.595868 [3910 voxels],0.591113 [3444 voxels],0.656639 [2406 voxels],0.58859 [2152 voxels],,,0.539188 [4171 voxels],0.493177 [4452 voxels],0.532268 [7753 voxels],0.540752 [7686 voxels],0.545115 [3274 voxels]
065,065,065,065,065,065,065,065,065,,,065,065,065,065,065
0.543978 [3865 voxels],0.596524 [5681 voxels],0.619039 [5398 voxels],0.588606 [2257 voxels],0.612101 [2224 voxels],0.580002 [3910 voxels],0.582558 [3444 voxels],0.596743 [2406 voxels],0.612122 [2152 voxels],,,0.50498 [4171 voxels],0.485753 [4452 voxels],0.519037 [7753 voxels],0.463317 [7686 voxels],0.548343 [3274 voxels]
066,066,066,066,066,066,066,066,066,,,066,066,066,066,066
0.510545 [3865 voxels],0.571615 [5681 voxels],0.595414 [5398 voxels],0.57375 [2257 voxels],0.578923 [2224 voxels],0.569509 [3910 voxels],0.569089 [3444 voxels],0.581063 [2406 voxels],0.576118 [2152 voxels],,,0.563362 [4171 voxels],0.552706 [4452 voxels],0.508998 [7753 voxels],0.525239 [7686 voxels],0.553001 [3274 voxels]
068,068,068,068,068,068,068,068,068,,,068,068,068,068,068
0.509031 [3865 voxels],0.535397 [5681 voxels],0.538591 [5398 voxels],0.50515 [2257 voxels],0.520114 [2224 voxels],0.523033 [3910 voxels],0.520802 [3444 voxels],0.57211 [2406 voxels],0.503815 [2152 voxels],,,0.545758 [4171 voxels],0.494097 [4452 voxels],0.511381 [7753 voxels],0.487004 [7686 voxels],0.533299 [3274 voxels]
069,069,069,069,069,069,069,069,069,,,069,069,069,069,069
0.545333 [3865 voxels],0.590521 [5681 voxels],0.597531 [5398 voxels],0.52143 [2257 voxels],0.552717 [2224 voxels],0.54572 [3910 voxels],0.525056 [3444 voxels],0.559377 [2406 voxels],0.563058 [2152 voxels],,,0.531345 [4171 voxels],0.481832 [4452 voxels],0.515751 [7753 voxels],0.505311 [7686 voxels],0.586396 [3274 voxels]
070,070,070,070,070,070,070,070,070,,,070,070,070,070,070
0.498538 [3865 voxels],0.555389 [5681 voxels],0.575202 [5398 voxels],0.597464 [2257 voxels],0.587427 [2224 voxels],0.583801 [3910 voxels],0.568578 [3444 voxels],0.604804 [2406 voxels],0.578975 [2152 voxels],,,0.474665 [4171 voxels],0.471919 [4452 voxels],0.476867 [7753 voxels],0.461467 [7686 voxels],0.580446 [3274 voxels]
071,071,071,071,071,071,071,071,071,,,071,071,071,071,071
0.531388 [3865 voxels],0.539843 [5681 voxels],0.527513 [5398 voxels],0.546788 [2257 voxels],0.558132 [2224 voxels],0.541304 [3910 voxels],0.518149 [3444 voxels],0.518528 [2406 voxels],0.52646 [2152 voxels],,,0.491347 [4171 voxels],0.470837 [4452 voxels],0.498401 [7753 voxels],0.496558 [7686 voxels],0.574719 [3274 voxels]
072,072,072,072,072,072,072,072,072,,,072,072,072,072,072
0.54252 [3865 voxels],0.519488 [5681 voxels],0.540579 [5398 voxels],0.515922 [2257 voxels],0.533118 [2224 voxels],0.543688 [3910 voxels],0.531959 [3444 voxels],0.505748 [2406 voxels],0.471922 [2152 voxels],,,0.503361 [4171 voxels],0.506561 [4452 voxels],0.504291 [7753 voxels],0.491559 [7686 voxels],0.587807 [3274 voxels]
073,073,073,073,073,073,073,073,073,,,073,073,073,073,073
0.571733 [3865 voxels],0.608594 [5681 voxels],0.587115 [5398 voxels],0.590143 [2257 voxels],0.548161 [2224 voxels],0.58125 [3910 voxels],0.561098 [3444 voxels],0.589564 [2406 voxels],0.532087 [2152 voxels],,,0.538769 [4171 voxels],0.516762 [4452 voxels],0.527709 [7753 voxels],0.505248 [7686 voxels],0.562513 [3274 voxels]
074,074,074,074,074,074,074,074,074,,,074,074,074,074,074
