10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.47298 [3865 voxels],0.470748 [5681 voxels],0.469835 [5398 voxels],0.458346 [2257 voxels],0.500046 [2224 voxels],0.477336 [3910 voxels],0.484855 [3444 voxels],0.476941 [2406 voxels],0.477347 [2152 voxels],,,0.460302 [4171 voxels],0.420896 [4452 voxels],0.462568 [7753 voxels],0.405302 [7686 voxels],0.513406 [3274 voxels]
107,107,107,107,107,107,107,107,107,,,107,107,107,107,107
0.528488 [3865 voxels],0.488359 [5681 voxels],0.506981 [5398 voxels],0.515798 [2257 voxels],0.545396 [2224 voxels],0.528647 [3910 voxels],0.542095 [3444 voxels],0.538388 [2406 voxels],0.500673 [2152 voxels],,,0.473455 [4171 voxels],0.480869 [4452 voxels],0.462861 [7753 voxels],0.435165 [7686 voxels],0.553261 [3274 voxels]
108,108,108,108,108,108,108,108,108,,,108,108,108,108,108
0.450102 [3865 voxels],0.499277 [5681 voxels],0.512983 [5398 voxels],0.520367 [2257 voxels],0.536366 [2224 voxels],0.517738 [3910 voxels],0.519395 [3444 voxels],0.550946 [2406 voxels],0.516153 [2152 voxels],,,0.465479 [4171 voxels],0.449718 [4452 voxels],0.465899 [7753 voxels],0.455762 [7686 voxels],0.457253 [3274 voxels]
109,109,109,109,109,109,109,109,109,,,109,109,109,109,109
0.481725 [3865 voxels],0.49518 [5681 voxels],0.465651 [5398 voxels],0.51239 [2257 voxels],0.522647 [2224 voxels],0.500725 [3910 voxels],0.496536 [3444 voxels],0.484901 [2406 voxels],0.498114 [2152 voxels],,,0.47199 [4171 voxels],0.479006 [4452 voxels],0.465269 [7753 voxels],0.444738 [7686 voxels],0.525624 [3274 voxels]
110,110,110,110,110,110,110,110,110,,,110,110,110,110,110
0.532126 [3865 voxels],0.536002 [5681 voxels],0.54086 [5398 voxels],0.557642 [2257 voxels],0.562796 [2224 voxels],0.567563 [3910 voxels],0.550719 [3444 voxels],0.583185 [2406 voxels],0.583273 [2152 voxels],,,0.481573 [4171 voxels],0.482449 [4452 voxels],0.483736 [7753 voxels],0.485451 [7686 voxels],0.555677 [3274 voxels]
111,111,111,111,111,111,111,111,111,,,111,111,111,111,111
0.532787 [3865 voxels],0.496191 [5681 voxels],0.554703 [5398 voxels],0.513332 [2257 voxels],0.568166 [2224 voxels],0.511529 [3910 voxels],0.531562 [3444 voxels],0.519706 [2406 voxels],0.555674 [2152 voxels],,,0.457925 [4171 voxels],0.505298 [4452 voxels],0.488 [7753 voxels],0.476977 [7686 voxels],0.533512 [3274 voxels]
112,112,112,112,112,112,112,112,112,,,112,112,112,112,112
0.507769 [3865 voxels],0.504824 [5681 voxels],0.555307 [5398 voxels],0.526143 [2257 voxels],0.488481 [2224 voxels],0.536358 [3910 voxels],0.518211 [3444 voxels],0.53367 [2406 voxels],0.500693 [2152 voxels],,,0.414508 [4171 voxels],0.396078 [4452 voxels],0.436197 [7753 voxels],0.422831 [7686 voxels],0.55169 [3274 voxels]
113,113,113,113,113,113,113,113,113,,,113,113,113,113,113
0.509894 [3865 voxels],0.48565 [5681 voxels],0.520367 [5398 voxels],0.532243 [2257 voxels],0.522876 [2224 voxels],0.545407 [3910 voxels],0.525392 [3444 voxels],0.550641 [2406 voxels],0.50305 [2152 voxels],,,0.463683 [4171 voxels],0.427206 [4452 voxels],0.478132 [7753 voxels],0.423757 [7686 voxels],0.582278 [3274 voxels]
