10 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 OD /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.490302 [3865 voxels],0.540696 [5681 voxels],0.5121 [5398 voxels],0.519521 [2257 voxels],0.532766 [2224 voxels],0.548492 [3910 voxels],0.532173 [3444 voxels],0.538217 [2406 voxels],0.536215 [2152 voxels],109,109,0.465849 [4171 voxels],0.447827 [4452 voxels],0.450668 [7753 voxels],0.440055 [7686 voxels],0.525452 [3274 voxels]
059,059,059,059,059,059,059,059,059,110,110,059,059,059,059,059
0.494523 [3865 voxels],0.59316 [5681 voxels],0.586286 [5398 voxels],0.598232 [2257 voxels],0.574596 [2224 voxels],0.565153 [3910 voxels],0.555614 [3444 voxels],0.601215 [2406 voxels],0.571215 [2152 voxels],111,111,0.501522 [4171 voxels],0.458605 [4452 voxels],0.502953 [7753 voxels],0.42843 [7686 voxels],0.534657 [3274 voxels]
060,060,060,060,060,060,060,060,060,112,112,060,060,060,060,060
0.470743 [3865 voxels],0.435928 [5681 voxels],0.465336 [5398 voxels],0.499484 [2257 voxels],0.496273 [2224 voxels],0.489791 [3910 voxels],0.498482 [3444 voxels],0.492262 [2406 voxels],0.514923 [2152 voxels],113,113,0.479829 [4171 voxels],0.480628 [4452 voxels],0.436256 [7753 voxels],0.415393 [7686 voxels],0.490357 [3274 voxels]
061,061,061,061,061,061,061,061,061,,,061,061,061,061,061
0.561439 [3865 voxels],0.475589 [5681 voxels],0.47196 [5398 voxels],0.490643 [2257 voxels],0.500931 [2224 voxels],0.505951 [3910 voxels],0.511369 [3444 voxels],0.535938 [2406 voxels],0.507395 [2152 voxels],,,0.524726 [4171 voxels],0.448006 [4452 voxels],0.504725 [7753 voxels],0.46544 [7686 voxels],0.612406 [3274 voxels]
062,062,062,062,062,062,062,062,062,,,062,062,062,062,062
0.554336 [3865 voxels],0.59072 [5681 voxels],0.552738 [5398 voxels],0.560975 [2257 voxels],0.572529 [2224 voxels],0.552309 [3910 voxels],0.54715 [3444 voxels],0.623829 [2406 voxels],0.549302 [2152 voxels],,,0.482845 [4171 voxels],0.433851 [4452 voxels],0.477869 [7753 voxels],0.490467 [7686 voxels],0.494031 [3274 voxels]
065,065,065,065,065,065,065,065,065,,,065,065,065,065,065
0.490463 [3865 voxels],0.551513 [5681 voxels],0.571595 [5398 voxels],0.543851 [2257 voxels],0.563851 [2224 voxels],0.535752 [3910 voxels],0.536694 [3444 voxels],0.55425 [2406 voxels],0.569892 [2152 voxels],,,0.451955 [4171 voxels],0.431174 [4452 voxels],0.463506 [7753 voxels],0.405028 [7686 voxels],0.504337 [3274 voxels]
066,066,066,066,066,066,066,066,066,,,066,066,066,066,066
0.463976 [3865 voxels],0.528301 [5681 voxels],0.552592 [5398 voxels],0.535043 [2257 voxels],0.528272 [2224 voxels],0.526415 [3910 voxels],0.520812 [3444 voxels],0.545398 [2406 voxels],0.533706 [2152 voxels],,,0.506791 [4171 voxels],0.495389 [4452 voxels],0.45623 [7753 voxels],0.477078 [7686 voxels],0.510499 [3274 voxels]
068,068,068,068,068,068,068,068,068,,,068,068,068,068,068
0.456105 [3865 voxels],0.484781 [5681 voxels],0.486863 [5398 voxels],0.454355 [2257 voxels],0.468468 [2224 voxels],0.482188 [3910 voxels],0.471452 [3444 voxels],0.523587 [2406 voxels],0.455452 [2152 voxels],,,0.495064 [4171 voxels],0.437823 [4452 voxels],0.453018 [7753 voxels],0.43357 [7686 voxels],0.489682 [3274 voxels]
069,069,069,069,069,069,069,069,069,,,069,069,069,069,069
0.501427 [3865 voxels],0.537785 [5681 voxels],0.549631 [5398 voxels],0.47223 [2257 voxels],0.502775 [2224 voxels],0.494543 [3910 voxels],0.476126 [3444 voxels],0.516909 [2406 voxels],0.51805 [2152 voxels],,,0.48849 [4171 voxels],0.424116 [4452 voxels],0.457316 [7753 voxels],0.450135 [7686 voxels],0.544688 [3274 voxels]
070,070,070,070,070,070,070,070,070,,,070,070,070,070,070
0.442436 [3865 voxels],0.500068 [5681 voxels],0.524362 [5398 voxels],0.555333 [2257 voxels],0.537648 [2224 voxels],0.534286 [3910 voxels],0.516159 [3444 voxels],0.567597 [2406 voxels],0.541137 [2152 voxels],,,0.413945 [4171 voxels],0.40843 [4452 voxels],0.418442 [7753 voxels],0.401751 [7686 voxels],0.534391 [3274 voxels]
071,071,071,071,071,071,071,071,071,,,071,071,071,071,071
0.487214 [3865 voxels],0.486059 [5681 voxels],0.469892 [5398 voxels],0.493968 [2257 voxels],0.498354 [2224 voxels],0.488521 [3910 voxels],0.463571 [3444 voxels],0.47487 [2406 voxels],0.477572 [2152 voxels],,,0.433507 [4171 voxels],0.414344 [4452 voxels],0.440964 [7753 voxels],0.438289 [7686 voxels],0.535102 [3274 voxels]
072,072,072,072,072,072,072,072,072,,,072,072,072,072,072
0.496601 [3865 voxels],0.461019 [5681 voxels],0.485172 [5398 voxels],0.466155 [2257 voxels],0.47885 [2224 voxels],0.490311 [3910 voxels],0.478174 [3444 voxels],0.460904 [2406 voxels],0.427743 [2152 voxels],,,0.446092 [4171 voxels],0.449193 [4452 voxels],0.451439 [7753 voxels],0.437326 [7686 voxels],0.544991 [3274 voxels]
073,073,073,073,073,073,073,073,073,,,073,073,073,073,073
0.532271 [3865 voxels],0.565521 [5681 voxels],0.536815 [5398 voxels],0.542225 [2257 voxels],0.498859 [2224 voxels],0.539058 [3910 voxels],0.513511 [3444 voxels],0.548709 [2406 voxels],0.488943 [2152 voxels],,,0.482784 [4171 voxels],0.459724 [4452 voxels],0.477234 [7753 voxels],0.455544 [7686 voxels],0.519645 [3274 voxels]
074,074,074,074,074,074,074,074,074,,,074,074,074,074,074
0.495957 [3865 voxels],0.492629 [5681 voxels],0.495462 [5398 voxels],0.508738 [2257 voxels],0.492347 [2224 voxels],0.503135 [3910 voxels],0.47233 [3444 voxels],0.503979 [2406 voxels],0.478996 [2152 voxels],,,0.507164 [4171 voxels],0.459809 [4452 voxels],0.477712 [7753 voxels],0.395979 [7686 voxels],0.570995 [3274 voxels]
075,075,075,075,075,075,075,075,075,,,075,075,075,075,075
0.48894 [3865 voxels],0.508242 [5681 voxels],0.601842 [5398 voxels],0.539972 [2257 voxels],0.514432 [2224 voxels],0.537651 [3910 voxels],0.517524 [3444 voxels],0.542487 [2406 voxels],0.501419 [2152 voxels],,,0.435229 [4171 voxels],0.421769 [4452 voxels],0.450724 [7753 voxels],0.427554 [7686 voxels],0.552461 [3274 voxels]
076,076,076,076,076,076,076,076,076,,,076,076,076,076,076
0.545504 [3865 voxels],0.549248 [5681 voxels],0.558604 [5398 voxels],0.593515 [2257 voxels],0.581367 [2224 voxels],0.557783 [3910 voxels],0.569837 [3444 voxels],0.579318 [2406 voxels],0.570719 [2152 voxels],,,0.496074 [4171 voxels],0.426426 [4452 voxels],0.49406 [7753 voxels],0.451661 [7686 voxels],0.612859 [3274 voxels]
078,078,078,078,078,078,078,078,078,,,078,078,078,078,078
0.480856 [3865 voxels],0.511195 [5681 voxels],0.534224 [5398 voxels],0.512913 [2257 voxels],0.49264 [2224 voxels],0.531212 [3910 voxels],0.527076 [3444 voxels],0.497403 [2406 voxels],0.478629 [2152 voxels],,,0.437585 [4171 voxels],0.423385 [4452 voxels],0.45067 [7753 voxels],0.431625 [7686 voxels],0.543554 [3274 voxels]
079,079,079,079,079,079,079,079,079,,,079,079,079,079,079
0.55393 [3865 voxels],0.457765 [5681 voxels],0.455867 [5398 voxels],0.528257 [2257 voxels],0.533787 [2224 voxels],0.518043 [3910 voxels],0.522705 [3444 voxels],0.521544 [2406 voxels],0.508047 [2152 voxels],,,0.455981 [4171 voxels],0.427116 [4452 voxels],0.474004 [7753 voxels],0.481964 [7686 voxels],0.554844 [3274 voxels]
081,081,081,081,081,081,081,081,081,,,081,081,081,081,081
0.483236 [3865 voxels],0.507997 [5681 voxels],0.528183 [5398 voxels],0.469326 [2257 voxels],0.487065 [2224 voxels],0.49773 [3910 voxels],0.499367 [3444 voxels],0.492102 [2406 voxels],0.519469 [2152 voxels],,,0.447103 [4171 voxels],0.455093 [4452 voxels],0.45425 [7753 voxels],0.419553 [7686 voxels],0.493042 [3274 voxels]
082,082,082,082,082,082,082,082,082,,,082,082,082,082,082
0.485558 [3865 voxels],0.506455 [5681 voxels],0.496358 [5398 voxels],0.51522 [2257 voxels],0.522621 [2224 voxels],0.522309 [3910 voxels],0.516616 [3444 voxels],0.49562 [2406 voxels],0.475027 [2152 voxels],,,0.475019 [4171 voxels],0.441383 [4452 voxels],0.457106 [7753 voxels],0.4508 [7686 voxels],0.544057 [3274 voxels]
085,085,085,085,085,085,085,085,085,,,085,085,085,085,085
0.522347 [3865 voxels],0.535279 [5681 voxels],0.55625 [5398 voxels],0.518448 [2257 voxels],0.52511 [2224 voxels],0.543957 [3910 voxels],0.540728 [3444 voxels],0.522028 [2406 voxels],0.493496 [2152 voxels],,,0.449932 [4171 voxels],0.433863 [4452 voxels],0.480254 [7753 voxels],0.466075 [7686 voxels],0.51957 [3274 voxels]
086,086,086,086,086,086,086,086,086,,,086,086,086,086,086
0.47533 [3865 voxels],0.474366 [5681 voxels],0.475146 [5398 voxels],0.485184 [2257 voxels],0.508174 [2224 voxels],0.49374 [3910 voxels],0.49845 [3444 voxels],0.519489 [2406 voxels],0.498749 [2152 voxels],,,0.405399 [4171 voxels],0.413154 [4452 voxels],0.461438 [7753 voxels],0.39647 [7686 voxels],0.551469 [3274 voxels]
088,088,088,088,088,088,088,088,088,,,088,088,088,088,088
0.452407 [3865 voxels],0.447359 [5681 voxels],0.473422 [5398 voxels],0.510998 [2257 voxels],0.508609 [2224 voxels],0.491809 [3910 voxels],0.508183 [3444 voxels],0.469608 [2406 voxels],0.475433 [2152 voxels],,,0.434738 [4171 voxels],0.446544 [4452 voxels],0.423935 [7753 voxels],0.413838 [7686 voxels],0.521509 [3274 voxels]
089,089,089,089,089,089,089,089,089,,,089,089,089,089,089
0.548488 [3865 voxels],0.459939 [5681 voxels],0.497755 [5398 voxels],0.529289 [2257 voxels],0.547879 [2224 voxels],0.513344 [3910 voxels],0.541435 [3444 voxels],0.511916 [2406 voxels],0.492861 [2152 voxels],,,0.467078 [4171 voxels],0.491205 [4452 voxels],0.477942 [7753 voxels],0.479228 [7686 voxels],0.55477 [3274 voxels]
091,091,091,091,091,091,091,091,091,,,091,091,091,091,091
0.48023 [3865 voxels],0.491786 [5681 voxels],0.511699 [5398 voxels],0.523004 [2257 voxels],0.533767 [2224 voxels],0.534079 [3910 voxels],0.522801 [3444 voxels],0.574198 [2406 voxels],0.512116 [2152 voxels],,,0.416983 [4171 voxels],0.398043 [4452 voxels],0.448031 [7753 voxels],0.400225 [7686 voxels],0.553142 [3274 voxels]
095,095,095,095,095,095,095,095,095,,,095,095,095,095,095
0.455241 [3865 voxels],0.453176 [5681 voxels],0.451332 [5398 voxels],0.492763 [2257 voxels],0.474273 [2224 voxels],0.5101 [3910 voxels],0.479607 [3444 voxels],0.49493 [2406 voxels],0.492989 [2152 voxels],,,0.429305 [4171 voxels],0.415513 [4452 voxels],0.436259 [7753 voxels],0.382931 [7686 voxels],0.499487 [3274 voxels]
096,096,096,096,096,096,096,096,096,,,096,096,096,096,096
0.504464 [3865 voxels],0.484753 [5681 voxels],0.471036 [5398 voxels],0.501069 [2257 voxels],0.523423 [2224 voxels],0.513072 [3910 voxels],0.510352 [3444 voxels],0.512088 [2406 voxels],0.485674 [2152 voxels],,,0.448338 [4171 voxels],0.424359 [4452 voxels],0.454771 [7753 voxels],0.406766 [7686 voxels],0.554856 [3274 voxels]
098,098,098,098,098,098,098,098,098,,,098,098,098,098,098
0.507187 [3865 voxels],0.5399 [5681 voxels],0.52303 [5398 voxels],0.497442 [2257 voxels],0.538913 [2224 voxels],0.53161 [3910 voxels],0.529316 [3444 voxels],0.523161 [2406 voxels],0.519372 [2152 voxels],,,0.521659 [4171 voxels],0.449107 [4452 voxels],0.500974 [7753 voxels],0.441863 [7686 voxels],0.519117 [3274 voxels]
099,099,099,099,099,099,099,099,099,,,099,099,099,099,099
0.43431 [3865 voxels],0.543061 [5681 voxels],0.537852 [5398 voxels],0.503654 [2257 voxels],0.503445 [2224 voxels],0.502032 [3910 voxels],0.474142 [3444 voxels],0.507777 [2406 voxels],0.478638 [2152 voxels],,,0.446867 [4171 voxels],0.46512 [4452 voxels],0.46376 [7753 voxels],0.431373 [7686 voxels],0.490921 [3274 voxels]
100,100,100,100,100,100,100,100,100,,,100,100,100,100,100
0.523298 [3865 voxels],0.470983 [5681 voxels],0.498766 [5398 voxels],0.483235 [2257 voxels],0.523074 [2224 voxels],0.526405 [3910 voxels],0.522789 [3444 voxels],0.512256 [2406 voxels],0.502586 [2152 voxels],,,0.465255 [4171 voxels],0.464575 [4452 voxels],0.482943 [7753 voxels],0.451803 [7686 voxels],0.587507 [3274 voxels]
101,101,101,101,101,101,101,101,101,,,101,101,101,101,101
0.465046 [3865 voxels],0.471089 [5681 voxels],0.450855 [5398 voxels],0.496877 [2257 voxels],0.508917 [2224 voxels],0.459098 [3910 voxels],0.439759 [3444 voxels],0.495432 [2406 voxels],0.492051 [2152 voxels],,,0.481311 [4171 voxels],0.420514 [4452 voxels],0.439604 [7753 voxels],0.391131 [7686 voxels],0.546002 [3274 voxels]
102,102,102,102,102,102,102,102,102,,,102,102,102,102,102
0.371044 [3865 voxels],0.559088 [5681 voxels],0.531995 [5398 voxels],0.499789 [2257 voxels],0.437418 [2224 voxels],0.501389 [3910 voxels],0.492086 [3444 voxels],0.497162 [2406 voxels],0.42388 [2152 voxels],,,0.446873 [4171 voxels],0.462883 [4452 voxels],0.433062 [7753 voxels],0.451609 [7686 voxels],0.413262 [3274 voxels]
103,103,103,103,103,103,103,103,103,,,103,103,103,103,103
0.488689 [3865 voxels],0.491975 [5681 voxels],0.467809 [5398 voxels],0.488521 [2257 voxels],0.505334 [2224 voxels],0.491164 [3910 voxels],0.483218 [3444 voxels],0.514605 [2406 voxels],0.498447 [2152 voxels],,,0.480383 [4171 voxels],0.485967 [4452 voxels],0.453637 [7753 voxels],0.434715 [7686 voxels],0.497496 [3274 voxels]
104,104,104,104,104,104,104,104,104,,,104,104,104,104,104
0.488227 [3865 voxels],0.508002 [5681 voxels],0.507686 [5398 voxels],0.527705 [2257 voxels],0.554924 [2224 voxels],0.520113 [3910 voxels],0.531103 [3444 voxels],0.558173 [2406 voxels],0.552273 [2152 voxels],,,0.455754 [4171 voxels],0.438167 [4452 voxels],0.470802 [7753 voxels],0.410263 [7686 voxels],0.565607 [3274 voxels]
106,106,106,106,106,106,106,106,106,,,106,106,106,106,106
